IssueType,TotalCount,ToDo,InProgress,InVerification,PRRaised,Merged,Done
Epic,0,0,0,0,0,0,0
Story,9,1,4,1,0,0,2
Task,18,4,2,1,2,0,9
Sub-task,70,20,13,10,2,0,25
Bug,16,12,0,2,0,0,1
Test,8,4,0,0,0,0,4
