ProjectName,Blocker,Critical,Major,Info,Minor
Autopilot,1,20,86,2,45
issue-generator,0,0,0,0,0
oes-dashboard,0,0,0,0,0
OES-Gate,0,0,0,0,0
OES-Platform,0,0,0,0,0
OES-Sapor,0,0,0,0,0
OES-UI,0,0,0,0,0
OES-Visibility,0,0,0,0,0
restapp,0,0,0,0,0
