ProjectName,Unresolved,FalsePositive,Fixed,Removed,WontFix
Autopilot,1,0,0,0,0
issue-generator,0,0,0,0,0
oes-dashboard,55,0,0,0,0
OES-Gate,0,0,0,0,0
OES-Platform,45,0,4,0,0
OES-Sapor,48,0,0,0,0
OES-UI,130,0,0,0,0
OES-Visibility,0,0,0,0,0
restapp,0,0,0,0,0
