IssueType,TotalCount,ToDo,InProgress,InVerification,PRRaised,Merged,Done
Epic,0,0,0,0,0,0,0
Story,8,2,4,2,0,0,0
Task,27,17,4,2,0,0,4
Sub-task,15,1,3,1,0,0,10
Bug,16,8,1,3,0,0,4
Test,2,2,0,0,0,0,0
