IssueKey,UpdatedOn,HoursSinceLastUpdate
OP-10974,2021-12-30T09:54:53.877+0530,503
OP-10973,2021-12-30T09:54:55.833+0530,503
OP-10972,2021-12-30T09:55:00.003+0530,503
OP-10971,2021-12-30T09:55:02.580+0530,503
OP-10970,2021-12-22T09:24:11.822+0530,695
OP-10969,2021-12-30T10:16:29.160+0530,502
OP-10964,2022-01-19T18:03:36.339+0530,15
OP-10844,2022-01-19T16:10:38.469+0530,17
OP-10843,2022-01-10T10:48:43.492+0530,238
OP-10842,2022-01-19T17:22:53.591+0530,15
OP-10791,2021-12-24T09:03:59.035+0530,648
OP-10790,2021-12-24T19:33:52.745+0530,637
OP-10789,2021-12-24T09:00:35.218+0530,648
OP-10565,2022-01-19T17:47:31.825+0530,15
OP-10564,2021-12-22T09:08:35.198+0530,696
OP-11669,2022-01-10T20:01:50.444+0530,229
OP-11668,2022-01-18T16:44:11.292+0530,40
OP-11597,2022-01-18T16:44:24.255+0530,40
OP-11229,2022-01-18T18:14:50.717+0530,38
OP-11225,2022-01-18T18:14:50.634+0530,38
OP-11219,2022-01-18T18:14:50.587+0530,38
OP-11217,2021-12-27T14:59:27.498+0530,570
OP-10635,2021-12-17T12:49:10.596+0530,812
OP-10545,2021-12-17T09:58:48.678+0530,815
OP-10544,2021-12-14T00:28:13.493+0530,896
OP-10543,2021-12-17T09:58:37.854+0530,815
OP-10542,2021-12-28T09:08:15.971+0530,552
OP-10541,2021-12-14T00:27:45.545+0530,896
OP-10540,2021-12-20T21:43:33.371+0530,731
OP-10539,2021-12-15T19:31:27.922+0530,853
OP-10538,2021-12-15T20:59:39.824+0530,852
OP-10537,2021-12-17T09:58:34.558+0530,815
OP-10536,2021-12-17T09:58:25.858+0530,815
OP-10535,2022-01-18T18:14:48.353+0530,38
OP-10534,2021-12-17T09:59:37.524+0530,815
OP-10533,2021-12-14T00:20:29.217+0530,896
OP-10532,2021-12-16T17:23:53.977+0530,831
OP-10531,2021-12-20T13:07:42.524+0530,740
OP-10530,2021-12-14T00:19:47.075+0530,896
OP-10529,2021-12-20T21:42:39.459+0530,731
OP-10528,2021-12-15T19:31:21.504+0530,853
OP-10527,2021-12-15T19:37:41.262+0530,853
OP-10526,2021-12-17T09:59:25.754+0530,815
OP-10525,2021-12-17T09:59:17.165+0530,815
OP-10524,2022-01-18T18:14:48.347+0530,38
OP-10516,2021-12-17T12:49:08.406+0530,812
OP-10514,2022-01-04T17:46:18.226+0530,375
OP-10513,2021-12-20T13:07:55.134+0530,740
OP-10496,2021-12-28T08:57:36.755+0530,552
OP-10495,2021-12-13T13:28:58.668+0530,907
OP-10494,2021-12-14T16:57:47.367+0530,880
OP-10493,2021-12-27T16:48:54.827+0530,568
OP-10492,2021-12-29T11:51:16.052+0530,525
OP-10491,2021-12-17T12:49:07.566+0530,812
OP-10490,2021-12-14T15:01:55.451+0530,882
OP-10489,2021-12-14T12:54:31.921+0530,884
OP-10488,2021-12-14T12:54:45.404+0530,884
OP-10487,2021-12-14T12:54:40.268+0530,884
OP-10486,2022-01-18T18:14:48.342+0530,38
OP-10470,2021-12-17T12:49:07.917+0530,812
OP-10428,2021-12-17T14:35:51.938+0530,810
OP-10422,2021-12-29T10:39:08.386+0530,526
OP-10421,2021-12-10T19:00:31.806+0530,974
OP-10420,2021-12-28T17:40:13.981+0530,543
OP-10419,2021-12-27T22:44:31.941+0530,562
OP-10418,2021-12-10T18:58:22.763+0530,974
OP-10416,2021-12-10T18:58:19.608+0530,974
OP-10415,2021-12-10T18:58:16.433+0530,974
OP-10414,2021-12-17T12:49:08.071+0530,812
OP-10412,2021-12-29T11:51:53.175+0530,525
OP-10411,2021-12-13T10:13:26.911+0530,911
OP-10380,2022-01-18T17:33:30.803+0530,39
OP-10364,2021-12-17T12:49:05.727+0530,812
OP-10363,2021-12-14T17:45:36.762+0530,879
OP-10362,2021-12-10T13:23:11.934+0530,979
OP-10361,2021-12-10T13:20:06.724+0530,979
OP-10360,2021-12-10T13:20:00.831+0530,979
OP-10359,2021-12-28T17:15:56.876+0530,543
OP-10358,2021-12-13T13:10:05.160+0530,908
OP-10357,2021-12-14T17:47:58.186+0530,879
OP-10356,2021-12-13T12:36:40.268+0530,908
OP-10355,2021-12-13T12:39:22.197+0530,908
OP-10354,2022-01-18T18:14:47.610+0530,38
OP-10283,2021-12-17T12:49:05.342+0530,812
OP-10282,2021-12-09T15:03:13.791+0530,1002
OP-10281,2021-12-17T11:15:30.887+0530,813
OP-10280,2021-12-09T15:03:01.843+0530,1002
OP-10279,2021-12-09T15:02:55.236+0530,1002
OP-10278,2021-12-20T19:58:25.703+0530,733
OP-10277,2021-12-27T16:56:27.921+0530,568
OP-10276,2021-12-13T13:43:25.352+0530,907
OP-10275,2021-12-14T12:33:25.958+0530,884
OP-10274,2021-12-17T11:15:20.879+0530,813
OP-10273,2022-01-18T18:14:47.440+0530,38
OP-10249,2021-12-28T09:26:26.497+0530,551
OP-10248,2022-01-07T17:35:17.958+0530,303
OP-10247,2021-12-08T19:08:54.403+0530,1022
OP-10246,2021-12-30T16:11:43.169+0530,497
OP-10245,2021-12-27T16:45:39.610+0530,568
OP-10243,2021-12-27T16:48:19.624+0530,568
OP-10242,2021-12-20T11:28:13.670+0530,741
OP-10241,2021-12-16T12:54:04.508+0530,836
OP-10240,2021-12-16T12:54:33.723+0530,836
OP-10239,2022-01-18T18:14:47.400+0530,38
OP-10209,2021-12-08T12:26:13.180+0530,1028
OP-10208,2021-12-17T16:51:31.586+0530,808
OP-10207,2021-12-28T19:54:31.721+0530,541
OP-10206,2022-01-18T17:30:43.016+0530,39
OP-10205,2021-12-28T19:52:24.933+0530,541
OP-10204,2021-12-17T12:20:35.984+0530,812
OP-10203,2021-12-28T19:55:18.035+0530,541
OP-10202,2021-12-17T16:51:36.835+0530,808
OP-10201,2021-12-17T16:51:34.127+0530,808
OP-10200,2022-01-18T17:32:41.102+0530,39
OP-10199,2021-12-28T09:22:42.502+0530,551
OP-10198,2021-12-20T08:54:24.178+0530,744
OP-10197,2021-12-08T12:25:47.899+0530,1028
OP-10196,2021-12-08T12:25:40.521+0530,1028
OP-10195,2021-12-26T19:07:11.325+0530,590
OP-10194,2021-12-17T12:49:08.245+0530,812
OP-10193,2021-12-15T12:52:12.179+0530,860
OP-10192,2021-12-10T17:47:37.874+0530,975
OP-10191,2021-12-14T19:20:45.367+0530,877
OP-10190,2021-12-16T09:04:54.724+0530,840
OP-10189,2022-01-18T18:14:47.392+0530,38
OP-10182,2021-12-08T11:29:38.440+0530,1029
OP-10181,2021-12-13T13:12:35.882+0530,908
OP-10180,2021-12-20T15:15:02.157+0530,737
OP-10179,2021-12-08T11:29:13.778+0530,1029
OP-10178,2021-12-20T17:29:23.402+0530,735
OP-10177,2021-12-14T11:25:15.451+0530,885
OP-10176,2021-12-29T13:10:51.915+0530,524
OP-10175,2021-12-14T09:22:58.099+0530,887
OP-10174,2021-12-14T09:18:06.521+0530,887
OP-10173,2022-01-18T18:14:47.392+0530,38
OP-10150,2021-12-08T11:42:30.019+0530,1029
OP-10149,2021-12-08T11:42:02.654+0530,1029
OP-10148,2021-12-08T11:41:32.122+0530,1029
OP-10147,2021-12-08T11:40:48.226+0530,1029
OP-10015,2021-12-07T14:12:23.900+0530,1051
OP-9392,2021-12-08T19:05:20.565+0530,1022
OP-9391,2021-12-14T12:35:32.716+0530,884
OP-9390,2021-11-30T14:28:20.871+0530,1218
OP-9389,2021-12-27T09:42:37.883+0530,575
OP-9388,2021-12-27T09:41:40.191+0530,575
OP-9387,2021-12-21T11:02:22.203+0530,718
OP-9386,2021-12-02T19:25:05.854+0530,1165
OP-9385,2021-12-07T12:50:53.082+0530,1052
OP-9384,2021-12-08T19:02:04.147+0530,1022
OP-9383,2022-01-18T18:14:45.785+0530,38
OP-11445,2022-01-18T17:47:30.558+0530,39
OP-9860,2021-12-15T22:52:15.678+0530,850
OP-9857,2021-12-15T22:49:25.984+0530,850
OP-11843,2022-01-18T19:34:09.047+0530,37
OP-11418,2022-01-18T17:38:36.902+0530,39
OP-11417,2022-01-18T16:58:40.966+0530,40
OP-11416,2022-01-18T18:14:50.734+0530,38
OP-10907,2021-12-28T18:13:43.555+0530,543
OP-10160,2022-01-18T17:47:31.512+0530,39
OP-10124,2021-12-07T18:01:50.274+0530,1047
OP-10110,2021-12-17T09:47:50.893+0530,815
OP-10005,2021-12-06T16:52:05.164+0530,1072
OP-9939,2021-12-02T18:02:00.346+0530,1167
OP-9938,2021-12-17T09:48:32.926+0530,815
OP-9937,2021-12-17T09:48:56.658+0530,815
OP-9781,2021-12-02T10:20:59.243+0530,1174
OP-11809,2022-01-18T16:51:45.201+0530,40
OP-11763,2022-01-18T16:52:00.991+0530,40
OP-11737,2022-01-18T17:47:29.252+0530,39
OP-11662,2022-01-18T17:47:26.634+0530,39
OP-11476,2022-01-05T08:56:23.806+0530,360
OP-11455,2022-01-05T08:55:57.771+0530,360
OP-11451,2022-01-03T17:45:37.143+0530,399
OP-11303,2021-12-30T16:49:38.110+0530,496
OP-11189,2021-12-28T16:59:02.363+0530,544
OP-11170,2022-01-03T17:44:24.639+0530,399
OP-11085,2021-12-23T17:07:43.322+0530,664
OP-10756,2021-12-21T17:54:19.895+0530,711
OP-10629,2022-01-18T17:49:32.630+0530,39
OP-10575,2021-12-17T10:20:26.881+0530,814
OP-10520,2021-12-17T10:26:45.158+0530,814
OP-10403,2021-12-17T10:26:14.594+0530,814
OP-10287,2022-01-18T17:50:26.257+0530,39
OP-10233,2021-12-17T10:14:58.718+0530,814
OP-10155,2021-12-17T10:14:55.662+0530,814
OP-10125,2021-12-17T10:14:19.994+0530,815
OP-10049,2021-12-17T10:14:15.957+0530,815
OP-9944,2021-12-17T10:14:00.001+0530,815
OP-9942,2021-12-13T10:42:54.430+0530,910
OP-11600,2022-01-07T09:36:49.438+0530,311
OP-11362,2021-12-29T15:05:37.588+0530,522
OP-10979,2021-12-22T09:05:55.537+0530,696
OP-10978,2021-12-22T09:06:38.821+0530,696
OP-10962,2021-12-21T13:02:28.175+0530,716
OP-10886,2021-12-21T09:56:26.781+0530,719
OP-10696,2021-12-17T10:13:07.463+0530,815
OP-10591,2021-12-29T09:18:09.423+0530,527
OP-10548,2021-12-14T12:16:05.208+0530,884
OP-10547,2021-12-14T15:57:13.213+0530,881
OP-10134,2021-12-29T08:59:37.656+0530,528
OP-10133,2021-12-17T10:12:42.553+0530,815
OP-10083,2021-12-17T10:12:38.100+0530,815
OP-10010,2021-12-17T10:12:34.563+0530,815
OP-10009,2021-12-17T10:12:22.716+0530,815
OP-9693,2022-01-18T17:47:18.563+0530,39
OP-10857,2021-12-17T17:05:47.181+0530,808
OP-10856,2021-12-17T17:03:36.206+0530,808
