JobName,NumberOfBuilds,Successful,Failure,Aborted
Dev-audit-service-jpa,48,47,1,0
Dev-autopilot-build-branch-ds-ms,33,26,4,3
Dev-ds-build-branch-ds-ms,33,32,1,0
Dev-platformservice-build-branch,20,16,1,3
Dev-dashboardservice-build-branch,11,9,2,0
Dev-sapor-build-branch,18,15,1,2
Dev-visibilityservice-build-branch,9,9,0,0
Dev-build-commongate-branch,37,36,1,0
Total,209,190,11,8
