IssueType,TotalCount,ToDo,InProgress,InVerification,PRRaised,Merged,Done
Epic,46,11,21,11,0,0,3
Story,209,27,36,116,3,0,25
Task,127,16,19,34,1,0,55
Sub-task,510,178,20,70,3,0,237
Bug,206,68,4,68,2,0,53
Test,7,0,0,0,0,0,7
