IssueType,TotalCount,ToDo,InProgress,InVerification,PRRaised,Merged,Done
Epic,2,1,1,0,0,0,0
Story,23,5,8,1,0,0,8
Task,16,1,4,4,0,0,7
Sub-task,187,106,15,25,1,0,37
Bug,28,13,1,7,1,0,3
Test,11,5,6,0,0,0,0
